,,Situation,Ruling,Reference
,,"After the ready, snapper A58 puts both hands on the ball.  A58 then slowly and without simulating action at the snap, removes one hand from the ball.",No foul as long as A58 keeps one hand on the ball.,"7-1-3a,b"
,,"After the ready, snapper A58 puts one hand on the ball.  A58 then slowly and without simulating action at the snap, removes his hand from the ball.","Dead-ball foul, snap infraction, five yard penalty.",7-1-3a
,,"Team A is using a hurry-up offense and A54 puts his hands on the ball before the ready-for-play.  As A80 comes to the line, he enters the neutral zone.",No foul.  Encroachment restrictions are not in effect before the ready.,7-1-6
,,"Guard A62, directly across from B75, jumps and enters the neutral zone after B75 feints a charge and enters the neutral zone.  There is no contact.","Dead-ball foul, encroachment by team B, 5 yard penalty.",7-1-6
,,"Guard A62, directly across from B75, jumps and enters the neutral zone at the same instant that B75 feints a charge and enters the neutral zone.  There is no contact.",Two offsetting encroachment fouls.,7-1-6
,,"After the ball is declared ready for play, Team A lines up in an ""I"" formation.  While their teammates remain motionless, the three deep backs shift into a standard ""T"" formation, anf the stop for one second.  The ball is then snapped.","Legal.  Team A has satisfied the ""one second"" requirement following a shift.",
,,"After the ball is declared ready for play, backs A25 and A34 simultaneously go in motion and stop.  Before one second elapses, back A46 goes in motion parallel to his end line.  The ball is snapped while A46 continues in motion.",Live-ball foul simultaneous with the snap for illegal shift. The one-second requirement has not been satisfied.,
,,A25 then stops but A17 is still moving parallel to his end line when the ball is snapped.  A25 then stops but A17 is still moving parallel to his end line when the ball is snapped.,"Illegal shift. Even though only one man was moving at the snap, the simultaneous motion of A25 and A17 constituted a shift and the one-second requirement was not satisfied.",
,,"Team A has been set for one second when back A34 without committing a false start goes ln legal motion. He stops, but before one second elapses the ball is snapped.",Legal. The snap is considered to have taken place while A34 is ln legal motion.,
,,"Team A has been set for one second when back A34, without committing a false start, steps forward to a new position on the line and takes a three point stance. He stops, but before one second elapses the ball is snapped.",Illegal shift. A34 had to be stationary for a full second before the snap.,
,,With all his teammates motionless back A25 goes in motion parallel to his line. He stops and before one second elapses back A42 goes in motion and is moving parallel to his line at the snap.,Illegal shift. Although there was only one player moving at any one time the one second rule applies to a shift by a lone player.,
,,Quarterback A7 takes an upright position behind the snapper with his hands at his side.  All Team A players are set for at least one second when A7 moves his hands under center at the same time back A24 goes in motion.  A24 continues his motion to the snap.,Illegal shift.,
